filename,session_root,session_date,fixation_type,cell_type,sample_index,frame_index,em_filter_nm,acquisition_time,annotation,notes,laser_damage
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,8,535,58:41.8,colony_deep,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,9,457,47:13.6,colony_edge,,False
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,9,535,59:51.2,colony_edge,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,0,457,22:09.1,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,0,535,09:00.7,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,0,535,15:04.9,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,1,457,23:07.4,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,1,535,09:36.5,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,1,535,15:29.6,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,2,457,24:05.5,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,2,535,10:12.0,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,2,535,15:53.9,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,3,457,25:02.9,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,3,535,10:47.0,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,3,535,16:17.8,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,4,457,26:01.2,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,4,535,11:22.9,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,4,535,16:42.7,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,5,457,26:59.2,colony_island,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,5,535,11:58.5,colony_island,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,5,535,17:07.1,colony_island,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,6,457,27:57.9,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,6,535,12:34.9,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,6,535,17:32.2,colony_deep,,False
4_BKO0430glu10min_740nm_3038mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_100f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,7,457,28:56.9,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_60f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,7,535,13:11.4,colony_deep,,False
4_BKO0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_40f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,BKO,4,7,535,17:57.6,colony_deep,,False
